onset	duration	trial_type
0.396464	30.000002	language-easy_environment-clear
41.231758	30.000001	language-easy_environment-clear
82.079165	30.000001	language-easy_environment-clear
122.947484	30.000001	language-hard_environment-fog
163.725575	30.000002	language-hard_environment-fog
204.534079	30.000001	language-hard_environment-fog
245.393403	30.000005	language-hard_environment-clear
286.141296	30.000003	language-hard_environment-clear
326.998664	30.000004	language-hard_environment-clear
367.817396	30.000002	language-easy_environment-fog
408.529339	30.000002	language-easy_environment-fog
449.274726	30.000001	language-easy_environment-fog
